,Date,Commodity,Commodity Details,Measurement,Unit,Unit Details,Domain Category,Value
986,2019-08,HAY,,SALES,PCT OF MKTG YEAR,,NOT SPECIFIED,11
987,2019-08,HAY,(EXCL ALFALFA),PRICE RECEIVED,$ / TON,,NOT SPECIFIED,150
988,2019-08,HAY,ALFALFA,PRICE RECEIVED,$ / TON,,NOT SPECIFIED,195
989,2019-08,HAY,"ALFALFA, PREMIUM",PRICE RECEIVED,$ / TON,,NOT SPECIFIED,215
990,2019-08,LEMONS,,PRICE RECEIVED,$ / BOX,ON TREE EQUIV,NOT SPECIFIED,28.42
991,2019-08,LEMONS,,PRICE RECEIVED,$ / BOX,PHD EQUIV,NOT SPECIFIED,35.05
992,2019-08,LEMONS,FRESH MARKET,PRICE RECEIVED,$ / BOX,FOB,NOT SPECIFIED,49.3
993,2019-08,LEMONS,FRESH MARKET,PRICE RECEIVED,$ / BOX,ON TREE EQUIV,NOT SPECIFIED,32.09
994,2019-08,LEMONS,FRESH MARKET,PRICE RECEIVED,$ / BOX,PHD EQUIV,NOT SPECIFIED,38.87
995,2019-08,LEMONS,FRESH MARKET,SALES,BOXES,,NOT SPECIFIED,"800,000"
996,2019-08,LEMONS,PROCESSING,PRICE RECEIVED,$ / BOX,ON TREE EQUIV,NOT SPECIFIED, (D)
997,2019-08,LEMONS,PROCESSING,PRICE RECEIVED,$ / BOX,PHD EQUIV,NOT SPECIFIED, (D)
998,2019-08,LEMONS,PROCESSING,SALES,BOXES,,NOT SPECIFIED,"100,000"
999,2019-08,ORANGES,,PRICE RECEIVED,$ / BOX,ON TREE EQUIV,NOT SPECIFIED,7.26
1000,2019-08,ORANGES,,PRICE RECEIVED,$ / BOX,PHD EQUIV,NOT SPECIFIED,10.14
1001,2019-08,ORANGES,FRESH MARKET,PRICE RECEIVED,$ / BOX,FOB,NOT SPECIFIED,23.5
1002,2019-08,ORANGES,FRESH MARKET,PRICE RECEIVED,$ / BOX,ON TREE EQUIV,NOT SPECIFIED,10.56
1003,2019-08,ORANGES,FRESH MARKET,PRICE RECEIVED,$ / BOX,PHD EQUIV,NOT SPECIFIED,13.38
1004,2019-08,ORANGES,FRESH MARKET,SALES,BOXES,,NOT SPECIFIED,"1,200,000"
1005,2019-08,ORANGES,MID & NAVEL,PRICE RECEIVED,$ / BOX,ON TREE EQUIV,NOT SPECIFIED, (S)
1006,2019-08,ORANGES,MID & NAVEL,PRICE RECEIVED,$ / BOX,PHD EQUIV,NOT SPECIFIED, (S)
1007,2019-08,ORANGES,"MID & NAVEL, FRESH MARKET",PRICE RECEIVED,$ / BOX,FOB,NOT SPECIFIED, (S)
1008,2019-08,ORANGES,"MID & NAVEL, FRESH MARKET",PRICE RECEIVED,$ / BOX,ON TREE EQUIV,NOT SPECIFIED, (S)
1009,2019-08,ORANGES,"MID & NAVEL, FRESH MARKET",PRICE RECEIVED,$ / BOX,PHD EQUIV,NOT SPECIFIED, (S)
1010,2019-08,ORANGES,"MID & NAVEL, PROCESSING",PRICE RECEIVED,$ / BOX,ON TREE EQUIV,NOT SPECIFIED, (S)
1011,2019-08,ORANGES,"MID & NAVEL, PROCESSING",PRICE RECEIVED,$ / BOX,PHD EQUIV,NOT SPECIFIED, (S)
1012,2019-08,ORANGES,PROCESSING,PRICE RECEIVED,$ / BOX,ON TREE EQUIV,NOT SPECIFIED, (D)
1013,2019-08,ORANGES,PROCESSING,PRICE RECEIVED,$ / BOX,PHD EQUIV,NOT SPECIFIED, (D)
1014,2019-08,ORANGES,PROCESSING,SALES,BOXES,,NOT SPECIFIED,"700,000"
1015,2019-08,ORANGES,VALENCIA,PRICE RECEIVED,$ / BOX,ON TREE EQUIV,NOT SPECIFIED,6.3
1016,2019-08,ORANGES,VALENCIA,PRICE RECEIVED,$ / BOX,PHD EQUIV,NOT SPECIFIED,9.2
1017,2019-08,ORANGES,"VALENCIA, FRESH MARKET",PRICE RECEIVED,$ / BOX,FOB,NOT SPECIFIED,23.5
1018,2019-08,ORANGES,"VALENCIA, FRESH MARKET",PRICE RECEIVED,$ / BOX,ON TREE EQUIV,NOT SPECIFIED,10.56
1019,2019-08,ORANGES,"VALENCIA, FRESH MARKET",PRICE RECEIVED,$ / BOX,PHD EQUIV,NOT SPECIFIED,13.38
1020,2019-08,ORANGES,"VALENCIA, FRESH MARKET",SALES,BOXES,,NOT SPECIFIED,"1,200,000"
1021,2019-08,ORANGES,"VALENCIA, PROCESSING",PRICE RECEIVED,$ / BOX,ON TREE EQUIV,NOT SPECIFIED, (D)
1022,2019-08,ORANGES,"VALENCIA, PROCESSING",PRICE RECEIVED,$ / BOX,PHD EQUIV,NOT SPECIFIED, (D)
1023,2019-08,ORANGES,"VALENCIA, PROCESSING",SALES,BOXES,,NOT SPECIFIED,"700,000"
1024,2019-08,RICE,MEDIUM-SHORT GRAIN,PRICE RECEIVED,$ / CWT,,NOT SPECIFIED,20.6
1025,2019-08,WHEAT,,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (D)
1026,2019-08,WHEAT,,SALES,PCT OF MKTG YEAR,,NOT SPECIFIED,3
1027,2019-08,WHEAT,"SPRING, DURUM",PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (D)
1028,2019-08,WHEAT,WINTER,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (D)
1029,2019-12,APPLES,FRESH MARKET,PRICE RECEIVED,$ / LB,,NOT SPECIFIED, (NA)
1030,2019-12,BARLEY,,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (D)
1031,2019-12,BARLEY,,SALES,PCT OF MKTG YEAR,,NOT SPECIFIED,5
1032,2019-12,BARLEY,FEED,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (S)
1033,2019-12,BARLEY,MALTING,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (D)
1034,2019-12,BEANS,"DRY EDIBLE, (EXCL CHICKPEAS)",PRICE RECEIVED,$ / CWT,,NOT SPECIFIED, (D)
1035,2019-12,BEANS,"DRY EDIBLE, INCL CHICKPEAS",SALES,PCT OF MKTG YEAR,,NOT SPECIFIED,14
1036,2019-12,CORN,GRAIN,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (NA)
1037,2019-12,COTTON,COTTONSEED,PRICE RECEIVED,$ / TON,,NOT SPECIFIED,295
1038,2019-12,COTTON,UPLAND,PRICE RECEIVED,$ / LB,,NOT SPECIFIED, (D)
1039,2019-12,COTTON,UPLAND,SALES,PCT OF MKTG YEAR,,NOT SPECIFIED,7.9
1040,2019-12,GRAPEFRUIT,,PRICE RECEIVED,$ / BOX,ON TREE EQUIV,NOT SPECIFIED,16.33
1041,2019-12,GRAPEFRUIT,,PRICE RECEIVED,$ / BOX,PHD EQUIV,NOT SPECIFIED,19.08
1042,2019-12,GRAPEFRUIT,FRESH MARKET,PRICE RECEIVED,$ / BOX,FOB,NOT SPECIFIED, (D)
1043,2019-12,GRAPEFRUIT,FRESH MARKET,PRICE RECEIVED,$ / BOX,ON TREE EQUIV,NOT SPECIFIED, (D)
1044,2019-12,GRAPEFRUIT,FRESH MARKET,PRICE RECEIVED,$ / BOX,PHD EQUIV,NOT SPECIFIED, (D)
1045,2019-12,GRAPEFRUIT,FRESH MARKET,SALES,BOXES,,NOT SPECIFIED,"50,000"
1046,2019-12,GRAPEFRUIT,PROCESSING,PRICE RECEIVED,$ / BOX,ON TREE EQUIV,NOT SPECIFIED, (D)
1047,2019-12,GRAPEFRUIT,PROCESSING,PRICE RECEIVED,$ / BOX,PHD EQUIV,NOT SPECIFIED, (D)
1048,2019-12,GRAPEFRUIT,PROCESSING,SALES,BOXES,,NOT SPECIFIED,"10,000"
1049,2019-12,HAY,,PRICE RECEIVED,$ / TON,,NOT SPECIFIED,189
1050,2019-12,HAY,,SALES,PCT OF MKTG YEAR,,NOT SPECIFIED,5
1051,2019-12,HAY,(EXCL ALFALFA),PRICE RECEIVED,$ / TON,,NOT SPECIFIED,150
1052,2019-12,HAY,ALFALFA,PRICE RECEIVED,$ / TON,,NOT SPECIFIED,200
1053,2019-12,HAY,"ALFALFA, PREMIUM",PRICE RECEIVED,$ / TON,,NOT SPECIFIED,230
1054,2019-12,LEMONS,,PRICE RECEIVED,$ / BOX,ON TREE EQUIV,NOT SPECIFIED,22.75
1055,2019-12,LEMONS,,PRICE RECEIVED,$ / BOX,PHD EQUIV,NOT SPECIFIED,29.26
1056,2019-12,LEMONS,FRESH MARKET,PRICE RECEIVED,$ / BOX,FOB,NOT SPECIFIED,45.8
1057,2019-12,LEMONS,FRESH MARKET,PRICE RECEIVED,$ / BOX,ON TREE EQUIV,NOT SPECIFIED,28.59
1058,2019-12,LEMONS,FRESH MARKET,PRICE RECEIVED,$ / BOX,PHD EQUIV,NOT SPECIFIED,35.37
1059,2019-12,LEMONS,FRESH MARKET,SALES,BOXES,,NOT SPECIFIED,"1,600,000"
1060,2019-12,LEMONS,PROCESSING,PRICE RECEIVED,$ / BOX,ON TREE EQUIV,NOT SPECIFIED, (D)
1061,2019-12,LEMONS,PROCESSING,PRICE RECEIVED,$ / BOX,PHD EQUIV,NOT SPECIFIED, (D)
1062,2019-12,LEMONS,PROCESSING,SALES,BOXES,,NOT SPECIFIED,"400,000"
1063,2019-12,ORANGES,,PRICE RECEIVED,$ / BOX,ON TREE EQUIV,NOT SPECIFIED,14.46
1064,2019-12,ORANGES,,PRICE RECEIVED,$ / BOX,PHD EQUIV,NOT SPECIFIED,17.37
1065,2019-12,ORANGES,FRESH MARKET,PRICE RECEIVED,$ / BOX,FOB,NOT SPECIFIED,31
1066,2019-12,ORANGES,FRESH MARKET,PRICE RECEIVED,$ / BOX,ON TREE EQUIV,NOT SPECIFIED,17.8
1067,2019-12,ORANGES,FRESH MARKET,PRICE RECEIVED,$ / BOX,PHD EQUIV,NOT SPECIFIED,20.68
1068,2019-12,ORANGES,FRESH MARKET,SALES,BOXES,,NOT SPECIFIED,"3,500,000"
1069,2019-12,ORANGES,MID & NAVEL,PRICE RECEIVED,$ / BOX,ON TREE EQUIV,NOT SPECIFIED,14.3
1070,2019-12,ORANGES,MID & NAVEL,PRICE RECEIVED,$ / BOX,PHD EQUIV,NOT SPECIFIED,17.21
1071,2019-12,ORANGES,"MID & NAVEL, FRESH MARKET",PRICE RECEIVED,$ / BOX,FOB,NOT SPECIFIED,31
1072,2019-12,ORANGES,"MID & NAVEL, FRESH MARKET",PRICE RECEIVED,$ / BOX,ON TREE EQUIV,NOT SPECIFIED,17.8
1073,2019-12,ORANGES,"MID & NAVEL, FRESH MARKET",PRICE RECEIVED,$ / BOX,PHD EQUIV,NOT SPECIFIED,20.68
1074,2019-12,ORANGES,"MID & NAVEL, FRESH MARKET",SALES,BOXES,,NOT SPECIFIED,"3,600,000"
1075,2019-12,ORANGES,"MID & NAVEL, PROCESSING",PRICE RECEIVED,$ / BOX,ON TREE EQUIV,NOT SPECIFIED, (D)
1076,2019-12,ORANGES,"MID & NAVEL, PROCESSING",PRICE RECEIVED,$ / BOX,PHD EQUIV,NOT SPECIFIED, (D)
1077,2019-12,ORANGES,"MID & NAVEL, PROCESSING",SALES,BOXES,,NOT SPECIFIED,"700,000"
1078,2019-12,ORANGES,PROCESSING,PRICE RECEIVED,$ / BOX,ON TREE EQUIV,NOT SPECIFIED, (D)
1079,2019-12,ORANGES,PROCESSING,PRICE RECEIVED,$ / BOX,PHD EQUIV,NOT SPECIFIED, (D)
1080,2019-12,ORANGES,PROCESSING,SALES,BOXES,,NOT SPECIFIED,"700,000"
1081,2019-12,ORANGES,VALENCIA,PRICE RECEIVED,$ / BOX,ON TREE EQUIV,NOT SPECIFIED, (S)
1082,2019-12,ORANGES,VALENCIA,PRICE RECEIVED,$ / BOX,PHD EQUIV,NOT SPECIFIED, (S)
1083,2019-12,ORANGES,"VALENCIA, FRESH MARKET",PRICE RECEIVED,$ / BOX,FOB,NOT SPECIFIED, (S)
1084,2019-12,ORANGES,"VALENCIA, FRESH MARKET",PRICE RECEIVED,$ / BOX,ON TREE EQUIV,NOT SPECIFIED, (S)
1085,2019-12,ORANGES,"VALENCIA, FRESH MARKET",PRICE RECEIVED,$ / BOX,PHD EQUIV,NOT SPECIFIED, (S)
1086,2019-12,ORANGES,"VALENCIA, PROCESSING",PRICE RECEIVED,$ / BOX,ON TREE EQUIV,NOT SPECIFIED, (S)
1087,2019-12,ORANGES,"VALENCIA, PROCESSING",PRICE RECEIVED,$ / BOX,PHD EQUIV,NOT SPECIFIED, (S)
1088,2019-12,RICE,MEDIUM-SHORT GRAIN,PRICE RECEIVED,$ / CWT,,NOT SPECIFIED,21.5
1089,2019-12,WHEAT,,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (D)
1090,2019-12,WHEAT,,SALES,PCT OF MKTG YEAR,,NOT SPECIFIED,2
1091,2019-12,WHEAT,"SPRING, DURUM",PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (S)
1092,2019-12,WHEAT,WINTER,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (D)
1093,2019-02,APPLES,FRESH MARKET,PRICE RECEIVED,$ / LB,,NOT SPECIFIED, (S)
1094,2019-02,BARLEY,,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (S)
1095,2019-02,BARLEY,FEED,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (S)
1096,2019-02,BARLEY,MALTING,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (S)
1097,2019-02,BEANS,"DRY EDIBLE, INCL CHICKPEAS",PRICE RECEIVED,$ / CWT,,NOT SPECIFIED,70.4
1098,2019-02,BEANS,"DRY EDIBLE, INCL CHICKPEAS",SALES,PCT OF MKTG YEAR,,NOT SPECIFIED,16
1099,2019-02,CORN,GRAIN,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (D)
1100,2019-02,COTTON,COTTONSEED,PRICE RECEIVED,$ / TON,,NOT SPECIFIED, (D)
1101,2019-02,COTTON,UPLAND,PRICE RECEIVED,$ / LB,,NOT SPECIFIED, (D)
1102,2019-02,COTTON,UPLAND,SALES,PCT OF MKTG YEAR,,NOT SPECIFIED,31.7
1103,2019-02,GRAPEFRUIT,,PRICE RECEIVED,$ / BOX,ON TREE EQUIV,NOT SPECIFIED,19.54
1104,2019-02,GRAPEFRUIT,,PRICE RECEIVED,$ / BOX,PHD EQUIV,NOT SPECIFIED,22
1105,2019-02,GRAPEFRUIT,FRESH MARKET,PRICE RECEIVED,$ / BOX,FOB,NOT SPECIFIED, (D)
1106,2019-02,GRAPEFRUIT,FRESH MARKET,PRICE RECEIVED,$ / BOX,ON TREE EQUIV,NOT SPECIFIED, (D)
1107,2019-02,GRAPEFRUIT,FRESH MARKET,PRICE RECEIVED,$ / BOX,PHD EQUIV,NOT SPECIFIED, (D)
1108,2019-02,GRAPEFRUIT,PROCESSING,PRICE RECEIVED,$ / BOX,ON TREE EQUIV,NOT SPECIFIED, (S)
1109,2019-02,GRAPEFRUIT,PROCESSING,PRICE RECEIVED,$ / BOX,PHD EQUIV,NOT SPECIFIED, (S)
1110,2019-02,HAY,,PRICE RECEIVED,$ / TON,,NOT SPECIFIED,209
1111,2019-02,HAY,,SALES,PCT OF MKTG YEAR,,NOT SPECIFIED,4
1112,2019-02,HAY,(EXCL ALFALFA),PRICE RECEIVED,$ / TON,,NOT SPECIFIED,175
1113,2019-02,HAY,ALFALFA,PRICE RECEIVED,$ / TON,,NOT SPECIFIED,220
1114,2019-02,HAY,"ALFALFA, PREMIUM",PRICE RECEIVED,$ / TON,,NOT SPECIFIED,240
1115,2019-02,LEMONS,,PRICE RECEIVED,$ / BOX,ON TREE EQUIV,NOT SPECIFIED,16.19
1116,2019-02,LEMONS,,PRICE RECEIVED,$ / BOX,PHD EQUIV,NOT SPECIFIED,22.37
1117,2019-02,LEMONS,FRESH MARKET,PRICE RECEIVED,$ / BOX,FOB,NOT SPECIFIED,41.1
1118,2019-02,LEMONS,FRESH MARKET,PRICE RECEIVED,$ / BOX,ON TREE EQUIV,NOT SPECIFIED,24.22
1119,2019-02,LEMONS,FRESH MARKET,PRICE RECEIVED,$ / BOX,PHD EQUIV,NOT SPECIFIED,30.87
1120,2019-02,LEMONS,PROCESSING,PRICE RECEIVED,$ / BOX,ON TREE EQUIV,NOT SPECIFIED, (D)
1121,2019-02,LEMONS,PROCESSING,PRICE RECEIVED,$ / BOX,PHD EQUIV,NOT SPECIFIED, (D)
1122,2019-02,ORANGES,,PRICE RECEIVED,$ / BOX,ON TREE EQUIV,NOT SPECIFIED,10.25
1123,2019-02,ORANGES,,PRICE RECEIVED,$ / BOX,PHD EQUIV,NOT SPECIFIED,13.12
1124,2019-02,ORANGES,FRESH MARKET,PRICE RECEIVED,$ / BOX,FOB,NOT SPECIFIED,27.7
1125,2019-02,ORANGES,FRESH MARKET,PRICE RECEIVED,$ / BOX,ON TREE EQUIV,NOT SPECIFIED,14.76
1126,2019-02,ORANGES,FRESH MARKET,PRICE RECEIVED,$ / BOX,PHD EQUIV,NOT SPECIFIED,17.58
1127,2019-02,ORANGES,MID & NAVEL,PRICE RECEIVED,$ / BOX,ON TREE EQUIV,NOT SPECIFIED,10.32
1128,2019-02,ORANGES,MID & NAVEL,PRICE RECEIVED,$ / BOX,PHD EQUIV,NOT SPECIFIED,13.19
1129,2019-02,ORANGES,"MID & NAVEL, FRESH MARKET",PRICE RECEIVED,$ / BOX,FOB,NOT SPECIFIED,27.7
1130,2019-02,ORANGES,"MID & NAVEL, FRESH MARKET",PRICE RECEIVED,$ / BOX,ON TREE EQUIV,NOT SPECIFIED,14.76
1131,2019-02,ORANGES,"MID & NAVEL, FRESH MARKET",PRICE RECEIVED,$ / BOX,PHD EQUIV,NOT SPECIFIED,17.58
1132,2019-02,ORANGES,"MID & NAVEL, PROCESSING",PRICE RECEIVED,$ / BOX,ON TREE EQUIV,NOT SPECIFIED, (D)
1133,2019-02,ORANGES,"MID & NAVEL, PROCESSING",PRICE RECEIVED,$ / BOX,PHD EQUIV,NOT SPECIFIED, (D)
1134,2019-02,ORANGES,PROCESSING,PRICE RECEIVED,$ / BOX,ON TREE EQUIV,NOT SPECIFIED, (D)
1135,2019-02,ORANGES,PROCESSING,PRICE RECEIVED,$ / BOX,PHD EQUIV,NOT SPECIFIED, (D)
1136,2019-02,ORANGES,VALENCIA,PRICE RECEIVED,$ / BOX,ON TREE EQUIV,NOT SPECIFIED, (S)
1137,2019-02,ORANGES,VALENCIA,PRICE RECEIVED,$ / BOX,PHD EQUIV,NOT SPECIFIED, (S)
1138,2019-02,ORANGES,"VALENCIA, FRESH MARKET",PRICE RECEIVED,$ / BOX,FOB,NOT SPECIFIED, (S)
1139,2019-02,ORANGES,"VALENCIA, FRESH MARKET",PRICE RECEIVED,$ / BOX,ON TREE EQUIV,NOT SPECIFIED, (S)
1140,2019-02,ORANGES,"VALENCIA, FRESH MARKET",PRICE RECEIVED,$ / BOX,PHD EQUIV,NOT SPECIFIED, (S)
1141,2019-02,ORANGES,"VALENCIA, PROCESSING",PRICE RECEIVED,$ / BOX,ON TREE EQUIV,NOT SPECIFIED, (S)
1142,2019-02,ORANGES,"VALENCIA, PROCESSING",PRICE RECEIVED,$ / BOX,PHD EQUIV,NOT SPECIFIED, (S)
1143,2019-02,RICE,MEDIUM-SHORT GRAIN,PRICE RECEIVED,$ / CWT,,NOT SPECIFIED,21.2
1144,2019-02,WHEAT,,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (S)
1145,2019-02,WHEAT,"SPRING, DURUM",PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (S)
1146,2019-02,WHEAT,WINTER,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (S)
1147,2019-01,APPLES,FRESH MARKET,PRICE RECEIVED,$ / LB,,NOT SPECIFIED, (S)
1148,2019-01,BARLEY,,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (D)
1149,2019-01,BARLEY,,SALES,PCT OF MKTG YEAR,,NOT SPECIFIED,10
1150,2019-01,BARLEY,FEED,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (S)
1151,2019-01,BARLEY,MALTING,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (D)
1152,2019-01,BEANS,"DRY EDIBLE, INCL CHICKPEAS",PRICE RECEIVED,$ / CWT,,NOT SPECIFIED,86
1153,2019-01,BEANS,"DRY EDIBLE, INCL CHICKPEAS",SALES,PCT OF MKTG YEAR,,NOT SPECIFIED,10
1154,2019-01,CORN,GRAIN,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (S)
1155,2019-01,COTTON,COTTONSEED,PRICE RECEIVED,$ / TON,,NOT SPECIFIED, (D)
1156,2019-01,COTTON,UPLAND,PRICE RECEIVED,$ / LB,,NOT SPECIFIED, (D)
1157,2019-01,COTTON,UPLAND,SALES,PCT OF MKTG YEAR,,NOT SPECIFIED,9.9
1158,2019-01,GRAPEFRUIT,,PRICE RECEIVED,$ / BOX,ON TREE EQUIV,NOT SPECIFIED,20.14
1159,2019-01,GRAPEFRUIT,,PRICE RECEIVED,$ / BOX,PHD EQUIV,NOT SPECIFIED,22.6
1160,2019-01,GRAPEFRUIT,FRESH MARKET,PRICE RECEIVED,$ / BOX,FOB,NOT SPECIFIED, (D)
1161,2019-01,GRAPEFRUIT,FRESH MARKET,PRICE RECEIVED,$ / BOX,ON TREE EQUIV,NOT SPECIFIED, (D)
1162,2019-01,GRAPEFRUIT,FRESH MARKET,PRICE RECEIVED,$ / BOX,PHD EQUIV,NOT SPECIFIED, (D)
1163,2019-01,GRAPEFRUIT,PROCESSING,PRICE RECEIVED,$ / BOX,ON TREE EQUIV,NOT SPECIFIED, (S)
1164,2019-01,GRAPEFRUIT,PROCESSING,PRICE RECEIVED,$ / BOX,PHD EQUIV,NOT SPECIFIED, (S)
1165,2019-01,HAY,,PRICE RECEIVED,$ / TON,,NOT SPECIFIED,204
1166,2019-01,HAY,,SALES,PCT OF MKTG YEAR,,NOT SPECIFIED,4
1167,2019-01,HAY,(EXCL ALFALFA),PRICE RECEIVED,$ / TON,,NOT SPECIFIED,165
1168,2019-01,HAY,ALFALFA,PRICE RECEIVED,$ / TON,,NOT SPECIFIED,220
1169,2019-01,HAY,"ALFALFA, PREMIUM",PRICE RECEIVED,$ / TON,,NOT SPECIFIED,245
1170,2019-01,LEMONS,,PRICE RECEIVED,$ / BOX,ON TREE EQUIV,NOT SPECIFIED,21.92
1171,2019-01,LEMONS,,PRICE RECEIVED,$ / BOX,PHD EQUIV,NOT SPECIFIED,28.27
1172,2019-01,LEMONS,FRESH MARKET,PRICE RECEIVED,$ / BOX,FOB,NOT SPECIFIED,44.6
1173,2019-01,LEMONS,FRESH MARKET,PRICE RECEIVED,$ / BOX,ON TREE EQUIV,NOT SPECIFIED,27.72
1174,2019-01,LEMONS,FRESH MARKET,PRICE RECEIVED,$ / BOX,PHD EQUIV,NOT SPECIFIED,34.37
1175,2019-01,LEMONS,PROCESSING,PRICE RECEIVED,$ / BOX,ON TREE EQUIV,NOT SPECIFIED, (D)
1176,2019-01,LEMONS,PROCESSING,PRICE RECEIVED,$ / BOX,PHD EQUIV,NOT SPECIFIED, (D)
1177,2019-01,ORANGES,,PRICE RECEIVED,$ / BOX,ON TREE EQUIV,NOT SPECIFIED,12.42
1178,2019-01,ORANGES,,PRICE RECEIVED,$ / BOX,PHD EQUIV,NOT SPECIFIED,15.28
1179,2019-01,ORANGES,FRESH MARKET,PRICE RECEIVED,$ / BOX,FOB,NOT SPECIFIED,29
1180,2019-01,ORANGES,FRESH MARKET,PRICE RECEIVED,$ / BOX,ON TREE EQUIV,NOT SPECIFIED,16.06
1181,2019-01,ORANGES,FRESH MARKET,PRICE RECEIVED,$ / BOX,PHD EQUIV,NOT SPECIFIED,18.88
1182,2019-01,ORANGES,MID & NAVEL,PRICE RECEIVED,$ / BOX,ON TREE EQUIV,NOT SPECIFIED,12.49
1183,2019-01,ORANGES,MID & NAVEL,PRICE RECEIVED,$ / BOX,PHD EQUIV,NOT SPECIFIED,15.34
1184,2019-01,ORANGES,"MID & NAVEL, FRESH MARKET",PRICE RECEIVED,$ / BOX,FOB,NOT SPECIFIED,29
1185,2019-01,ORANGES,"MID & NAVEL, FRESH MARKET",PRICE RECEIVED,$ / BOX,ON TREE EQUIV,NOT SPECIFIED,16.06
1186,2019-01,ORANGES,"MID & NAVEL, FRESH MARKET",PRICE RECEIVED,$ / BOX,PHD EQUIV,NOT SPECIFIED,18.88
1187,2019-01,ORANGES,"MID & NAVEL, PROCESSING",PRICE RECEIVED,$ / BOX,ON TREE EQUIV,NOT SPECIFIED, (D)
1188,2019-01,ORANGES,"MID & NAVEL, PROCESSING",PRICE RECEIVED,$ / BOX,PHD EQUIV,NOT SPECIFIED, (D)
1189,2019-01,ORANGES,PROCESSING,PRICE RECEIVED,$ / BOX,ON TREE EQUIV,NOT SPECIFIED, (D)
1190,2019-01,ORANGES,PROCESSING,PRICE RECEIVED,$ / BOX,PHD EQUIV,NOT SPECIFIED, (D)
1191,2019-01,ORANGES,VALENCIA,PRICE RECEIVED,$ / BOX,ON TREE EQUIV,NOT SPECIFIED, (S)
1192,2019-01,ORANGES,VALENCIA,PRICE RECEIVED,$ / BOX,PHD EQUIV,NOT SPECIFIED, (S)
1193,2019-01,ORANGES,"VALENCIA, FRESH MARKET",PRICE RECEIVED,$ / BOX,FOB,NOT SPECIFIED, (S)
1194,2019-01,ORANGES,"VALENCIA, FRESH MARKET",PRICE RECEIVED,$ / BOX,ON TREE EQUIV,NOT SPECIFIED, (S)
1195,2019-01,ORANGES,"VALENCIA, FRESH MARKET",PRICE RECEIVED,$ / BOX,PHD EQUIV,NOT SPECIFIED, (S)
1196,2019-01,ORANGES,"VALENCIA, PROCESSING",PRICE RECEIVED,$ / BOX,ON TREE EQUIV,NOT SPECIFIED, (S)
1197,2019-01,ORANGES,"VALENCIA, PROCESSING",PRICE RECEIVED,$ / BOX,PHD EQUIV,NOT SPECIFIED, (S)
1198,2019-01,RICE,MEDIUM-SHORT GRAIN,PRICE RECEIVED,$ / CWT,,NOT SPECIFIED,21.5
1199,2019-01,WHEAT,,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (D)
1200,2019-01,WHEAT,"SPRING, DURUM",PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (S)
1201,2019-01,WHEAT,WINTER,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (D)
1202,2019-07,APPLES,FRESH MARKET,PRICE RECEIVED,$ / LB,,NOT SPECIFIED, (S)
1203,2019-07,BARLEY,,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (D)
1204,2019-07,BARLEY,,SALES,PCT OF MKTG YEAR,,NOT SPECIFIED,31
1205,2019-07,BARLEY,FEED,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (D)
1206,2019-07,BARLEY,MALTING,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (S)
1207,2019-07,BEANS,"DRY EDIBLE, INCL CHICKPEAS",PRICE RECEIVED,$ / CWT,,NOT SPECIFIED, (D)
1208,2019-07,BEANS,"DRY EDIBLE, INCL CHICKPEAS",SALES,PCT OF MKTG YEAR,,NOT SPECIFIED,1
1209,2019-07,CORN,GRAIN,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (S)
1210,2019-07,COTTON,COTTONSEED,PRICE RECEIVED,$ / TON,,NOT SPECIFIED, (NA)
1211,2019-07,COTTON,UPLAND,PRICE RECEIVED,$ / LB,,NOT SPECIFIED, (D)
1212,2019-07,COTTON,UPLAND,SALES,PCT OF MKTG YEAR,,NOT SPECIFIED,6.1
1213,2019-07,GRAPEFRUIT,,PRICE RECEIVED,$ / BOX,ON TREE EQUIV,NOT SPECIFIED,8.62
